recipe_urls,recipe_name,ingredients,ingredients_parsed
https://cuisine-facile.com/divers/recette-artichauts-violets-gratines-en-mornay.php,Artichauts violets gratinés en Mornay,"['1 2 tranches de jambon', '2 16 artichauts violets', ""3 2 cuillères à soupe d'huile d'olive"", '4 350 g de Sauce béchamel', '5 100 g de Mimolette']",tranche jambon artichauts violet cuilleres a soupe sauce bechamel mimolette
https://cuisine-facile.com/divers/recette-mont-d-or-chaud-aux-petits-legumes.php,Mont d'Or chaud aux petits légumes,"['1 100 g de champignons', '2 1 carotte', '3 1 échalote', '4 1 navet', '5 2 topinambours', '6 50 g de petits-pois', '7 30 g de beurre', ""8 1 Mont d'Or"", '9 sel', '10 poivre']",champignons carotte echalote navet topinambours petits poi beurre mont sel poivre
https://cuisine-facile.com/desserts/recette-tarte-fondante-mures-amandes.php,Tarte fondante mûres-amandes,"['1 300 g de Pâte sablée', '2 50 g de chocolat blanc', '3 2 feuilles de gélatine', '4 200 ml de crème fraiche liquide', ""5 200 ml de Jus (ou lait) d'amandes"", '6 30 g de sucre en poudre', '7 10 g de Sucre vanillé', '8 100 g de sucre en poudre', '9 50 g de gélifiant à confiture', '10 350 g de Coulis de fruits frais', '11 400 g de sucre en poudre']",pate sablee chocolat blanc feuilles gelatine creme fraiche liquide jus sucre poudre sucre vanille sucre poudre gelifiant a confiture coulis fruit sucre poudre
https://cuisine-facile.com/divers/recette-pates-a-la-creme-moutardee.php,Pâtes à la crème moutardée,"['1 400 g de pâtes', ""2 1 cuillère à soupe d'huile d'olive"", '3 125 g de lardons', '4 200 ml de crème fraiche liquide', '5 2 cuillères à soupe de moutarde', '6 sel', '7 poivre']",pate cuillere a soupe lardons creme fraiche liquide cuilleres a soupe moutarde sel poivre
https://cuisine-facile.com/divers/recette-friands-jambon.php,Friands au jambon,"['1 4 tranches de jambon', ""2 1 cuillère à soupe d'huile d'olive"", '3 300 g de Pâte feuilletée', '4 200 g de Sauce béchamel', '5 150 g de fromage râpé', '6 30 g de dorure']",tranche jambon cuillere a soupe pate feuilletee sauce bechamel fromage rape dorure
https://cuisine-facile.com/four/recette-saucipain.php,Saucipain,"['1 500 g de saucisson', '2 120 g de pistaches', '3 1 kg de farine', '4 200 g de levain', '5 30 g de levure de boulanger', '6 9 g de sel', '7 650 ml de vin rouge']",saucisson pistaches kg farine levain levure boulanger sel vin
https://cuisine-facile.com/base/recette-sauce-remoulette.php,Sauce rémoulette,"['1 1 œuf', '2 1 cuillère à soupe de moutarde', '3 4 cuillères à soupe de jus de citron', '4 sel', '5 poivre', ""6 200 ml d'huile"", '7 ciboulette']",oeuf cuillere a soupe moutarde cuilleres a soupe jus citron sel poivre ciboulette
https://cuisine-facile.com/poissons/recette-bouchees-rouget-aux-graines-pavot.php,Bouchées de rouget aux graines de pavot,"['1 80 g de Tomates confites', '2 80 g de feta', '3 400 g de pain', ""4 3 cuillères à soupe d'huile d'olive"", '5 4 filets de rouget', '6 80 g de graines de pavot', '7 basilic', '8 sel', '9 poivre']",tomates confites feta pain cuilleres a soupe filet rouget graines pavot basilic sel poivre
https://cuisine-facile.com/four/recette-cramique.php,Cramique,"['1 300 g de raisins secs', '2 200 ml de rhum', '3 100 g de beurre', '4 125 g de lait entier', ""5 150 g d'œuf ( Comment faire pour... )"", '6 500 g de farine', '7 10 g de Sucre vanillé', '8 75 g de sucre de canne', '9 20 g de levure de boulanger', '10 9 g de sel fin', '11 100 g de pâte fermentée viennoise (facultatif)', '12 50 g de Sucre perlé', '13 30 g de dorure']",raisin sec rhum beurre lait entier comment faire farine sucre vanille sucre canne levure boulanger sel fin pate fermentee viennoise sucre perle dorure
https://cuisine-facile.com/entrees/recette-salade-de-betteraves-aux-noix-de-cajou.php,Salade de betteraves aux noix de cajou,"['1 100 g de noix de cajou', '2 350 g de betterave crue', '3 1 oignon nouveau', '4 200 g de pain', ""5 2 cuillères à soupe d'huile d'olive"", '6 5 cuillères à soupe de Sauce vinaigrette']",noix cajou betterave crue oignon nouveau pain cuilleres a soupe cuilleres a soupe sauce vinaigrette
https://cuisine-facile.com/entrees/recette-allumettes-foie-gras.php,Allumettes au foie gras,"['1 150 g de farine', '2 120 g de beurre', '3 1 œuf', '4 5 g de sel', '5 50 g de graines de sésame', '6 200 g de Foie gras']",farine beurre oeuf sel graines sesame foie gras
https://cuisine-facile.com/entrees/recette-artichauts-poivrade.php,Artichauts poivrade,"['1 10 artichauts violets', '2 1 citron', '3 1 oignon nouveau', '4 persil', '5 coriandre', ""6 4 cuillères à soupe d'huile d'olive"", '7 30 g de Parmigiano reggiano (Parmesan)', '8 sel', '9 poivre']",artichauts violet citron oignon nouveau persil coriandre cuilleres a soupe parmigiano reggiano sel poivre
https://cuisine-facile.com/entrees/recette-asperges-en-petits-pois.php,Asperges en petits pois,"[""1 800 g d'asperges"", '2 30 g de beurre', '3 100 ml de Bouillon de légumes', '4 100 ml de crème fraiche liquide', ""5 2 jaunes d'œuf"", '6 2 pincées de noix de muscade râpée', '7 ciboulette', '8 sel', '9 poivre']",beurre bouillon legume creme fraiche liquide jaunes pincees noix muscade rapee ciboulette sel poivre
https://cuisine-facile.com/poissons/recette-avocat-saumon-gravlax.php,Avocat au saumon gravlax,"['1 100 g de fromage frais', ""2 2 cuillères à soupe d'herbes de votre choix"", '3 1 cuillère à soupe de jus de citron', '4 2 avocats', '5 100 g de Saumon gravlax', '6 sel', '7 poivre']",fromage cuilleres a soupe choix cuillere a soupe jus citron avocats saumon gravlax sel poivre
https://cuisine-facile.com/entrees/recette-avocat-au-thon.php,Avocat au thon,"['1 2 avocats', ""2 120 g de thon à l'huile"", '3 120 g de Mayonnaise', '4 herbes de votre choix']",avocats thon a mayonnaise herbes choix
https://cuisine-facile.com/entrees/recette-avocat-aux-crevettes-sautees.php,Avocat aux crevettes sautées,"['1 4 avocats', '2 1 citron vert', '3 400 g de crevettes cuites', ""4 2 cuillères à soupe d'huile d'olive"", '5 150 g de Mayonnaise', '6 1 petite cuillère de curry', '7 persil', '8 sel', '9 poivre']",avocats citron vert crevettes cuites cuilleres a soupe mayonnaise cuillere curry persil sel poivre
